ligand,"Binder/
Nonbinder",Average HSA score,SD HSA score
2-(R)-phenylproionamides 1,0,99.8,0
2-(R)-phenylproionamides 10,0,70.1,0.14
2-(R)-phenylproionamides 2 (Reparixin),0,99.9,0
2-(R)-phenylproionamides 3,0,91.98,0.03
2-(R)-phenylproionamides 4,0,70,0.01
2-(R)-phenylproionamides 5,0,61.88,0.17
2-(R)-phenylproionamides 6,0,85.12,0.03
2-(R)-phenylproionamides 7,0,75.07,0.04
2-(R)-phenylproionamides 8,0,83.04,0.08
2-(R)-phenylproionamides 9,0,95.99,0.01
2-furan-propionic acid,0,,
3-acetylcoumarin,0,93.64,
"3,5-di-iodosalicyclic acid",0,,
4-chromanol,0,97.59,
4-hydroxycoumarin,0,99.62,
4-hydroxylmethyl-6-methoxy-quinolone,0,73,
"4,7-daidzein disulfate",0,98.62,
4-daidzein sulfate,0,92.34,
6-methoxy-quinolone,0,,
6-N-benzyl-2-thiouracil,0,,
"6,3-dihydroxydaidzein",0,95.15,
7-daidzein sulfate,0,94.43,
"8,3-dihydroxydaidzein",0,96.62,
8-hydroxydaidzein,0,94.43,
Abacavir,0,91.25,0.35
Acebutolol,0,38.14,
Acrivastin,0,48.85,
Acrylodan,0,,
Aformoterol,0,31.7,
Albendazole,0,,
Alendronate,0,,
Alfentanil,0,,
Alfuzosin,0,,
Alprazolam,0,80,
Alprenolol,0,45.44,9.7
Aminodarone,0,,
Aminoindan Analogue 1a,0,63.8,
Aminoindan Analogue 1b,0,89.8,
Aminoindan Analogue 1c (Indacaterol),0,95.7,
Aminoindan Analogue 1d,0,98.6,
Aminoindan Analogue 1e,0,99.5,
Aminoindan Analogue 1f,0,59.5,
Aminoindan Analogue 1g,0,94,
Amphitericin B,0,,
Ampicillin,0,25.97,7.41
Amrinone,0,65.84,0.37
Anastrozole,0,,
Aripiprazine,0,,
Atazanavir,0,84,0
Atorvastatin,0,,
Atovaquone,0,99.9,
Azapropazone,0,99.59,0.26
Azidocillin ,0,,
Aztreonam,0,,
Baicalein,0,,
BCA ,0,,
Beclomethasone,0,68.52,0.54
Benoxaprofen,0,99.91,
Betamethasone,0,49.35,4.57
Bonomycin,0,61.86,
Bromazepam,0,46.2,17.45
Budesonide,0,78.23,10.58
Bumetanide,0,72.59,21.58
Bupropion,0,47.12,
Calcitriol,0,97.35,
Camptothecin,0,72.68,38.57
Carbamazepine,0,58.09,18.17
Carmoterol,0,51.7,
Carprofen,0,99.9,0.09
Cefaclor,0,7.17,
Cefadroxil,0,53.34,
Cefazolin,0,75.33,17.82
Ceftazidime,0,17.13,8.52
Celecoxib,0,96.79,
Cephalexin,0,36.71,29.03
CFL (2‘Fluoro-2’-Deoxy-Cytidine-5’-Monophosphate),0,,
Chloramphenicol,0,25.75,
Chlorazepate,0,,
Chlorodiazepoxide,0,,
Chlorothiazide,0,96.56,0.7
Chlorpromazine,0,95.17,2.79
Chlorpropamide,0,78.65,28.29
Chlorthalidone,0,68,
Chromone-2-Carboxylic acid,0,,
Cimetidine,0,27.79,6.03
Ciprofloxacin,0,67.58,28.61
Clofibrate,0,88.11,19.97
Clomipramine,0,,
Clonidine,0,36.78,7.69
Clotrimazole,0,95.63,
Cloxacillin,0,83.4,10.74
CMPF (3-carboxy-4-methyl-5-propyl-2-furanpropanoic acid),0,99.99,
Compound 1,0,,
Compound 2,0,,
Creosol,0,,
Cyclosporine ,0,,
Cytarabine,0,35.31,6.37
Daidzein,0,,
Daidzein,0,94.61,
Dansyl-L-amide,0,,
Dansyl-L-arginine,0,,
Dansyl-L-asparagine,0,98.91,
Dansyl-L-glutamate,0,,
Dansyl-L-glycine,0,35.46,
Dansyl-L-norvaline,0,,
Dansyl-L-phenylalanine,0,99.63,
Dansyl-L-proline,0,,
Dansyl-L-sarcosine,0,99.66,
Dapsone,0,,
Darunavir,0,,
Desipramine,0,89,12.31
Diazepam,0,91.78,9.1
Diclofenac,0,96.4,6.1
Dicloxacillin,0,86.74,10.35
Dicoumarol,0,99.87,
Didanosine,0,87,4.24
Diflunisal,0,94.9,6.73
Diflunisal analogues 12,0,98.36,
Diflunisal analogues 14,0,94.04,
Diflunisal analogues 15,0,92.45,
Diflunisal analogues 16 (5-chloro-salicylic acid),0,92.77,
Diflunisal analogues 17,0,85.14,
Diflunisal analogues 18,0,99.34,
Diflunisal analogues 19,0,99.17,
Diflunisal analogues 20,0,78.72,
Diflunisal analogues 21,0,82.32,
Diflunisal analogues 22,0,37.5,
Diflunisal analogues 23,0,37.5,
Diflunisal analogues 24,0,77.54,
Diflunisal analogues 25,0,64.96,
Diflunisal analogues 26,0,93.5,
Diflunisal analogues 27,0,62.3,
Digitoxin,0,82.45,19.56
Diphenhydramine,0,52.15,2.3
Dirithromycin,0,,
Docetaxel,0,,
Dopamine,0,,
Doxycycline,0,72.31,30.73
Droperidol,0,71.26,9.81
Dyphylline,0,,
Efravirenz,0,91.95,11.24
Emtricitabine,0,56,48.5
Ertapenem,0,,
Estradiol,0,87.15,7.48
Ethylguiacol,0,,
Etodolac,0,98.82,0.5
Etoricoxib,0,99,
Etravirine,0,99.8,
F1594 = P-Biphenylyl-4oxo-4methyl-2 butyric acid,0,,
F1803 = (Orthochlorophenyl-4phenyl) hydroxyacetic acid,0,,
F1893 = chloro-2’-p-biphenylcarboxylic acid,0,,
F2006= (Orthochlorophenyl-4phenyl) acetic acid ,0,,
Felbamate,0,41.58,22.8
Fenbufen,0,99.6,
Fenoprofen,0,94.82,6.95
Floraltone,0,,
Flucloxacillin,0,87.18,10.19
Flufenamic acid,0,,
Fluorescein,0,,
Flurbiprofen,0,97.42,4.52
Furosemide,0,72.07,23.35
Fusidic acid,0,81.34,15.16
Ganciclovir,0,38.59,28.37
Genistein,0,98.44,0.65
Glafenic acid,0,,
Glibenclamide,0,87.52,9.08
Halothane,0,,
Hedonal,0,,
Heme,0,,
Hydrochlorothiazide,0,38.23,13.57
Hydrocortisone,0,40.73,9.07
Ibuprofen,0,96.78,5.4
Imipramine,0,81.93,9.95
Indole-3-acetic acid,0,55.84,
"Indole-3-acetic acid, 1-Me",0,63.63,
"Indole-3-acetic acid, 2-Et",0,51.78,
"Indole-3-acetic acid, 2-Me",0,47.7,
"Indole-3-acetic acid, 2-Me,5-Ome",0,56.86,
"Indole-3-acetic acid, 2-Pr",0,58.55,
"Indole-3-acetic acid, 4-Cl",0,74.17,
"Indole-3-acetic acid, 4-Et",0,71.2,
"Indole-3-acetic acid, 4-F",0,66.87,
"Indole-3-acetic acid, 4-Me",0,58.83,
"Indole-3-acetic acid, 4,5-Cl2",0,86.29,
"Indole-3-acetic acid, 4,6-Cl2",0,92.35,
"Indole-3-acetic acid, 4,7-Cl2",0,87.37,
"Indole-3-acetic acid, 5-Br",0,86.54,
"Indole-3-acetic acid, 5-Bu",0,91.82,
"Indole-3-acetic acid, 5-Cl",0,81.57,
"Indole-3-acetic acid, 5-Et",0,75.55,
"Indole-3-acetic acid, 5-F",0,64.59,
"Indole-3-acetic acid, 5-Me",0,62.24,
"Indole-3-acetic acid, 5-Obz",0,93.88,
"Indole-3-acetic acid, 5-OH",0,42.85,
"Indole-3-acetic acid, 5-Ome",0,60.49,
"Indole-3-acetic acid, 5-Pr",0,86.56,
"Indole-3-acetic acid, 5,6-Cl2",0,96.47,
"Indole-3-acetic acid, 5,7-Cl2",0,90.58,
"Indole-3-acetic acid, 6-Cl",0,87.94,
"Indole-3-acetic acid, 6-Et",0,91.71,
"Indole-3-acetic acid, 6-F",0,67.02,
"Indole-3-acetic acid, 6-Me",0,83.01,
"Indole-3-acetic acid, 6,7-Cl2",0,92.48,
"Indole-3-acetic acid, 7-Aza",0,32.67,
"Indole-3-acetic acid, 7-Cl",0,80.76,
"Indole-3-acetic acid, 7-F",0,63.85,
"Indole-3-acetic acid, 7-Me",0,66,
"Indole-3-acetic acid, Et ester",0,50,
Indomethacin,0,91.96,10.58
Indoxyl sulfate ,0,99.9,
Iodipamide,0,99.99,0
Iopanoic acid,0,99.98,
Iophenoxic acid ,0,100,0
Isoxicam,0,,
Itanoxone,0,99.15,
Itraconazole,0,84.82,9.65
JDC-108,0,99.15,
Ketoconazole,0,84.91,8.79
Ketoprofen,0,86.54,19.19
Ketorolac,0,99.2,0.01
L-Sorbose,0,,
Labetalol,0,45.71,18.65
Lamotrigine,0,42.57,
Levocetirizine,0,,
Levofloxacin,0,57.99,
Levothryoxine ,0,99.72,
Lidocaine,0,56.9,28.05
Lopinavir,0,,
Maltopentaose,0,,
Mannitol ,0,,
Mefenamic acid,0,,
Meloxicam,0,98.84,
Methotrexate,0,37.79,20.69
Methylprednisolone,0,49.98,9.15
Meticillin,0,35.37,
Minocycline,0,61.86,
