No,Ligand Name,Canonical SMILES,InChIKey,DOI or link to data source,Albumin source organism,"Albumin concentration, μM",Albumin modifications,"Ligand concentration, μM",pH,Buffer,"Buffer concentration, M","Temperature, K",Method,Method details,Model,Ka in M scale,Kd in M scale,n,"ΔH, kJ/mol",Ka2,Kd2,n2,ΔH2,Tag,Ligand ChEMBL ID,Assay ChEMBL ID or BindingDB Ref
1,(-)-Chlorpheniramine,CN(CC[C@@H](c1ccccn1)c1ccc(cc1)Cl)C,SOYKEARSMXGVTM-OAHLLOKOSA-N,10.1002/(SICI)1520-636X(1999)11:5/6<501::AID-CHIR24>3.0.CO;2-K,Homo sapiens,602,,,7.4,Phosphate (Sorensen),,room,Equilibrium dialysis,,,297,,,,,,,,,,
2,(-)-Chlorpheniramine,CN(CC[C@@H](c1ccccn1)c1ccc(cc1)Cl)C,SOYKEARSMXGVTM-OAHLLOKOSA-N,10.1111/j.2042-7158.1998.tb00709.x,Homo sapiens,3.125-100,,25-200,7.4,Phosphate,0.01,310,Ultrafiltration,,Scatchard,,2.94E-05,,,,3.33E-04,,,,,
3,(-)-Gossypol,O=Cc1c(O)c(O)c(c2c1c(O)c(c(c2)C)c1c(C)cc2c(c1O)c(C=O)c(c(c2C(C)C)O)O)C(C)C,QBKSWRVVCFFDOT-UHFFFAOYSA-N,10.1016/j.bmcl.2011.12.076,Homo sapiens,,,,,,,,Fluorescence spectroscopy,,,239100,,,,,,,,CHEMBL,CHEMBL51483,CHEMBL1953042
4,(+)-Chlorpheniramine,CN(CC[C@H](c1ccccn1)c1ccc(cc1)Cl)C,SOYKEARSMXGVTM-HNNXBMFYSA-N,10.1002/(SICI)1520-636X(1999)11:5/6<501::AID-CHIR24>3.0.CO;2-K,Homo sapiens,602,,,7.4,Phosphate (Sorensen),,room,Equilibrium dialysis,,,431,,,,,,,,,,
5,(+)-Chlorpheniramine,CN(CC[C@H](c1ccccn1)c1ccc(cc1)Cl)C,SOYKEARSMXGVTM-HNNXBMFYSA-N,10.1111/j.2042-7158.1998.tb00709.x,Homo sapiens,3.125-100,,25-200,7.4,Phosphate,0.01,310,Ultrafiltration,,Scatchard,,2.13E-05,,,,2.00E-04,,,,,
6,"(1R,3aS,3bR,4R,5aS,7R,9aS,9bS,11S,11aR)-4-(Acetyloxy)-7-Amino-1-[(2R)-5-({4-[(7-Chloroquinolin-4-Yl)Amino]Butyl}Amino)Pentan-2-Yl]-9A,11A-Dimethyl-Tetradecahydro-1H-Cyclopenta[A]Phenanthren-11-Yl Acetate",N[C@@H]1CC[C@]2([C@@H](C1)C[C@H]([C@@H]1[C@@H]2C[C@H](OC(=O)C)[C@]2([C@H]1CC[C@@H]2[C@@H](CCCNCCCCNc1ccnc2c1ccc(c2)Cl)C)C)OC(=O)C)C,MHCDDXAEFSSFCT-XLOJCVSZSA-N,10.1021/acs.jmedchem.7b01710,Homo sapiens,0.5,,,7.34,Phosphate (1x PBS),,298,Fluorescence spectroscopy,λex 280 nm,Stern-Volmer,45600,,,,,,,,CHEMBL,CHEMBL4092633,CHEMBL4028714
7,"(1S,2S,4E,9S)-3-[(2R,3S)-3-(Acetyloxy)-2-(2-Hydroxyethyl)Oxetan-3-Yl]-9-{[(2R,3S)-3-[(Tert-Butoxycarbonyl)Amino]-2-Hydroxy-5-Methylhexanoyl]Oxy}-1,5-Dihydroxy-4,8,11,11-Tetramethyl-6-Oxobicyclo[5.3.1]Undeca-4,7-Dien-2-Yl Benzoate",OCC[C@H]1OC[C@@]1(OC(=O)C)C1C(=C(O)C(=O)C2=C([C@H](C[C@]([C@H]1OC(=O)c1ccccc1)(O)C2(C)C)OC(=O)[C@@H]([C@@H](NC(=O)OC(C)(C)C)CC(C)C)O)C)C,UKFDBDGJFYRBHE-FKGSWUQWSA-N,10.1021/jm049343o,Homo sapiens,,,30,,,,,Surface plasmon resonance,,,,3.19E-04,,,,1.83E-03,,,CHEMBL,CHEMBL194556,CHEMBL828328
8,"(2E)-1-[2-(4-Chlorophenyl)-1,3-Benzodiazol-1-Yl]-3-Phenylprop-2-En-1-One",Clc1ccc(cc1)c1nc2c(n1C(=O)/C=C/c1ccccc1)cccc2,OXQMPUBKBBUVQQ-XNTDXEJSSA-N,10.1039/C5MD00293A,Homo sapiens,2.5,,0.25-2,7.4,Phosphate,0.1,288,Fluorescence spectroscopy,,Double logarithmic plot,224000,,1,,,,,,CHEMBL,CHEMBL3770893,CHEMBL3773814
9,"(2E)-1-[2-(4-Chlorophenyl)-1,3-Benzodiazol-1-Yl]-3-Phenylprop-2-En-1-One",Clc1ccc(cc1)c1nc2c(n1C(=O)/C=C/c1ccccc1)cccc2,OXQMPUBKBBUVQQ-XNTDXEJSSA-N,10.1039/C5MD00293A,Homo sapiens,2.5,,0.25-2,7.4,Phosphate,0.1,298,Fluorescence spectroscopy,,Double logarithmic plot,32000,,0.88,-132,,,,,CHEMBL,CHEMBL3770893,CHEMBL3773815
10,"(2E)-1-[2-(4-Chlorophenyl)-1,3-Benzodiazol-1-Yl]-3-Phenylprop-2-En-1-One",Clc1ccc(cc1)c1nc2c(n1C(=O)/C=C/c1ccccc1)cccc2,OXQMPUBKBBUVQQ-XNTDXEJSSA-N,10.1039/C5MD00293A,Homo sapiens,2.5,,0.25-2,7.4,Phosphate,0.1,308,Fluorescence spectroscopy,,Double logarithmic plot,6270,,0.77,,,,,,CHEMBL,CHEMBL3770893,CHEMBL3773816
